	graphletCounts/margaret-fuller/margaret-fuller-summer-on-the-lakes	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-shakespere	graphletCounts/gustave-flaubert/gustave-flaubert-short-works	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	graphletCounts/mary-shelley/mary-shelley-prosepine-midas	graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	graphletCounts/margaret-fuller/margaret-fuller-woman-in-the-nineteenth-century	graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-aids-to-reflection	graphletCounts/mary-shelley/mary-shelley-frankenstein	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-specimens-of-the-table-talk	graphletCounts/walter-scott/walter-scott-ivanhoe	graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-1	graphletCounts/leo-tolstoy/leo-tolstoy-master-and-men	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-gambler	graphletCounts/margaret-fuller/margaret-fuller-life-without-and-life-within	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-biographia-literaria	graphletCounts/henry-david-thoreau/henry-david-thoreau-maine-woods	graphletCounts/leo-tolstoy/leo-tolstoy-anna-karenina	graphletCounts/walter-scott/walter-scott-the-tailsmen	graphletCounts/mary-shelley/mary-shelley-mathilda	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-representative-men	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-first-series	graphletCounts/mary-shelley/mary-shelley-last-man	graphletCounts/walter-scott/walter-scott-waverly-2	graphletCounts/walter-scott/walter-scott-waverly-1	graphletCounts/margaret-fuller/margaret-fuller-at-home-and-abroad	graphletCounts/gustave-flaubert/gustave-flaubert-simple-soul	graphletCounts/henry-david-thoreau/henry-david-thoreau-on-duty-civil	graphletCounts/henry-david-thoreau/henry-david-thoreau-excursions	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-house-of-the-dead	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-english-traits	graphletCounts/henry-david-thoreau/henry-david-thoreau-walking	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-nature	graphletCounts/margaret-fuller/margaret-fuller-memoirs-of-margaret-fuller-ossoli-vol-1	graphletCounts/gustave-flaubert/gustave-flaubert-temptation-anthony	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-uncles-dream	graphletCounts/walter-scott/walter-scott-the-monestary	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-second-series	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-literary-remains	graphletCounts/mary-shelley/mary-shelley-tales-stories
graphletCounts/margaret-fuller/margaret-fuller-summer-on-the-lakes	0	0.0068966618885	0.00819373375878	0.0113960150757	0.00190362899312	0.0101292328765	0.000613553818521	0.00913330791284	0.00348107181037	5.39597342408e-06	0.0190852232963	0.00818217797883	0.026790213121	0.00728498993992	0.086230800438	0.0813261298432	0.0877723090938	0.0907095596865	0.0170678773506	0.000503691952708	0.0023078004539	0.00659312814446	0.0947445765482	0.0230852994673	0.00187189626121	0.0432574359858	0.053951216701	0.00107496955393	0.0217988287528	0.0226910034646	0.00102195973331	0.00825513449539	0.00616979608453	0.00653324472981	0.0124068918083	0.0701127612534	0.00583470605311	0.0519253283289	0.000243135882756	0.00699318336255	0.0119887559431	0.0269169283533	0.0342405101054	0.00665656629301	0.00122031862779
graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-shakespere	0.0068966618885	0	0.00129707187028	0.00449935318717	0.00880029088162	0.00323257098804	0.00628310806998	0.00223664602434	0.0103777336989	0.00689126591508	0.0121885614078	0.00128551609033	0.0198935512325	0.000388328051417	0.0793341385495	0.0744294679547	0.0808756472053	0.083812897798	0.0101712154621	0.00639296993579	0.0045888614346	0.00030353374404	0.0878479146597	0.0161886375788	0.00876855814971	0.0363607740973	0.0470545548125	0.00797163144243	0.0149021668643	0.0157943415761	0.00587470215519	0.00135847260689	0.000726865803971	0.000363417158691	0.0055102299198	0.0632160993649	0.00106195583539	0.0450286664404	0.00665352600574	9.65214740516e-05	0.0050920940546	0.0200202664648	0.0273438482169	0.000240095595491	0.00811698051629
graphletCounts/gustave-flaubert/gustave-flaubert-short-works	0.00819373375878	0.00129707187028	0	0.00320228131689	0.0100973627519	0.00193549911776	0.00758017994026	0.00093957415406	0.0116748055692	0.00818833778536	0.0108914895375	1.15557799525e-05	0.0185964793622	0.000908743818863	0.0780370666792	0.0731323960844	0.079578575335	0.0825158259277	0.00887414359184	0.00769004180607	0.00588593330488	0.00160060561432	0.0865508427894	0.0148915657085	0.01006563002	0.035063702227	0.0457574829422	0.00926870331271	0.013605094994	0.0144972697058	0.00717177402547	6.14007366057e-05	0.00202393767425	0.00166048902897	0.00421315804952	0.0619190274946	0.00235902770567	0.0437315945702	0.00795059787602	0.00120055039623	0.00379502218432	0.0187231945945	0.0260467763467	0.00153716746577	0.00941405238657
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	0.0113960150757	0.00449935318717	0.00320228131689	0	0.0132996440688	0.00126678219914	0.0107824612572	0.00226270716283	0.014877086886	0.0113906191022	0.0076892082206	0.00321383709685	0.0153941980453	0.00411102513576	0.0748347853623	0.0699301147675	0.0763762940181	0.0793135446108	0.00567186227495	0.010892323123	0.00908821462178	0.00480288693121	0.0833485614725	0.0116892843916	0.0132679113369	0.0318614209101	0.0425552016253	0.0124709846296	0.0104028136771	0.0112949883889	0.0103740553424	0.00314088058029	0.00522621899114	0.00486277034586	0.00101087673263	0.0587167461777	0.00556130902256	0.0405293132533	0.0111528791929	0.00440283171312	0.000592740867429	0.0155209132776	0.0228444950298	0.00473944878266	0.0126163337035
graphletCounts/mary-shelley/mary-shelley-prosepine-midas	0.00190362899312	0.00880029088162	0.0100973627519	0.0132996440688	0	0.0120328618697	0.00251718281164	0.011036936906	0.00157744281725	0.00190902496654	0.0209888522894	0.0100858069719	0.0286938421141	0.00918861893304	0.0881344294311	0.0832297588363	0.0896759380869	0.0926131886796	0.0189715063437	0.00240732094583	0.00421142944702	0.00849675713758	0.0966482055413	0.0249889284604	3.17327319075e-05	0.0451610649789	0.0558548456941	0.000828659439185	0.0237024577459	0.0245946324577	0.00292558872643	0.0101587634885	0.00807342507765	0.00843687372293	0.0143105208014	0.0720163902465	0.00773833504623	0.0538289573221	0.00214676487588	0.00889681235567	0.0138923849362	0.0288205573464	0.0361441390986	0.00856019528613	0.000683310365334
graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	0.0101292328765	0.00323257098804	0.00193549911776	0.00126678219914	0.0120328618697	0	0.00951567905802	0.000995924963698	0.0136103046869	0.0101238369031	0.00895599041973	0.00194705489771	0.0166609802444	0.00284424293662	0.0761015675615	0.0711968969666	0.0776430762173	0.0805803268099	0.00693864447409	0.00962554092383	0.00782143242264	0.00353610473208	0.0846153436716	0.0129560665907	0.0120011291377	0.0331282031093	0.0438219838244	0.0112042024305	0.0116695958763	0.012561770588	0.00910727314323	0.00187409838115	0.00395943679201	0.00359598814673	0.00227765893176	0.0599835283769	0.00429452682342	0.0417960954524	0.00988609699378	0.00313604951399	0.00185952306657	0.0167876954767	0.0241112772289	0.00347266658353	0.0113495515043
graphletCounts/margaret-fuller/margaret-fuller-woman-in-the-nineteenth-century	0.000613553818521	0.00628310806998	0.00758017994026	0.0107824612572	0.00251718281164	0.00951567905802	0	0.00851975409432	0.0040946256289	0.000608157845097	0.0184716694777	0.00756862416031	0.0261766593024	0.0066714361214	0.0856172466195	0.0807125760246	0.0871587552753	0.090096005868	0.0164543235321	0.000109861865813	0.00169424663537	0.00597957432594	0.0941310227297	0.0224717456487	0.00248545007973	0.0426438821673	0.0533376628825	0.00168852337246	0.0211852749343	0.022077449646	0.000408405914788	0.00764158067686	0.00555624226601	0.00591969091129	0.0117933379898	0.0694992074349	0.00522115223459	0.0513117745104	0.000370417935765	0.00637962954403	0.0113752021246	0.0263033745347	0.0336269562869	0.00604301247449	0.00183387244631
graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	0.00913330791284	0.00223664602434	0.00093957415406	0.00226270716283	0.011036936906	0.000995924963698	0.00851975409432	0	0.0126143797232	0.00912791193942	0.00995191538343	0.000951129934012	0.0176569052081	0.00184831797292	0.0770974925251	0.0721928219303	0.078639001181	0.0815762517736	0.00793456943778	0.00862961596013	0.00682550745894	0.00254017976838	0.0856112686353	0.0139519915544	0.0110052041741	0.034124128073	0.0448179087881	0.0102082774668	0.01266552084	0.0135576955517	0.00811134817953	0.000878173417454	0.00296351182831	0.00260006318303	0.00327358389546	0.0609794533406	0.00329860185973	0.0427920204161	0.00889017203008	0.00214012455029	0.00285544803026	0.0177836204404	0.0251072021926	0.00247674161983	0.0103536265406
graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-aids-to-reflection	0.00348107181037	0.0103777336989	0.0116748055692	0.014877086886	0.00157744281725	0.0136103046869	0.0040946256289	0.0126143797232	0	0.0034864677838	0.0225662951066	0.0116632497892	0.0302712849313	0.0107660617503	0.0897118722484	0.0848072016535	0.0912533809042	0.0941906314969	0.020548949161	0.00398476376308	0.00578887226427	0.0100741999548	0.0982256483586	0.0265663712776	0.00160917554916	0.0467385077962	0.0574322885114	0.00240610225644	0.0252799005632	0.0261720752749	0.00450303154368	0.0117362063058	0.0096508678949	0.0100143165402	0.0158879636187	0.0735938330638	0.00931577786349	0.0554064001393	0.00372420769313	0.0104742551729	0.0154698277535	0.0303980001636	0.0377215819158	0.0101376381034	0.00226075318259
graphletCounts/mary-shelley/mary-shelley-frankenstein	5.39597342408e-06	0.00689126591508	0.00818833778536	0.0113906191022	0.00190902496654	0.0101238369031	0.000608157845097	0.00912791193942	0.0034864677838	0	0.0190798273228	0.0081767820054	0.0267848171475	0.00727959396649	0.0862254044646	0.0813207338697	0.0877669131204	0.0907041637131	0.0170624813772	0.000498295979284	0.00230240448047	0.00658773217104	0.0947391805748	0.0230799034938	0.00187729223464	0.0432520400124	0.0539458207276	0.00108036552736	0.0217934327794	0.0226856074911	0.00101656375989	0.00824973852196	0.00616440011111	0.00652784875638	0.0124014958349	0.07010736528	0.00582931007969	0.0519199323555	0.000237739909332	0.00698778738913	0.0119833599697	0.0269115323798	0.034235114132	0.00665117031959	0.00122571460121
