	graphletCounts/margaret-fuller/margaret-fuller-summer-on-the-lakes	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-shakespere	graphletCounts/gustave-flaubert/gustave-flaubert-short-works	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	graphletCounts/mary-shelley/mary-shelley-prosepine-midas	graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	graphletCounts/margaret-fuller/margaret-fuller-woman-in-the-nineteenth-century	graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-aids-to-reflection	graphletCounts/mary-shelley/mary-shelley-frankenstein	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-specimens-of-the-table-talk	graphletCounts/walter-scott/walter-scott-ivanhoe	graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-1	graphletCounts/leo-tolstoy/leo-tolstoy-master-and-men	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-gambler	graphletCounts/margaret-fuller/margaret-fuller-life-without-and-life-within	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-biographia-literaria	graphletCounts/henry-david-thoreau/henry-david-thoreau-maine-woods	graphletCounts/leo-tolstoy/leo-tolstoy-anna-karenina	graphletCounts/walter-scott/walter-scott-the-tailsmen	graphletCounts/mary-shelley/mary-shelley-mathilda	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-representative-men	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-first-series	graphletCounts/mary-shelley/mary-shelley-last-man	graphletCounts/walter-scott/walter-scott-waverly-2	graphletCounts/walter-scott/walter-scott-waverly-1	graphletCounts/margaret-fuller/margaret-fuller-at-home-and-abroad	graphletCounts/gustave-flaubert/gustave-flaubert-simple-soul	graphletCounts/henry-david-thoreau/henry-david-thoreau-on-duty-civil	graphletCounts/henry-david-thoreau/henry-david-thoreau-excursions	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-house-of-the-dead	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-english-traits	graphletCounts/henry-david-thoreau/henry-david-thoreau-walking	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-nature	graphletCounts/margaret-fuller/margaret-fuller-memoirs-of-margaret-fuller-ossoli-vol-1	graphletCounts/gustave-flaubert/gustave-flaubert-temptation-anthony	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-uncles-dream	graphletCounts/walter-scott/walter-scott-the-monestary	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-second-series	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-literary-remains	graphletCounts/mary-shelley/mary-shelley-tales-stories
graphletCounts/margaret-fuller/margaret-fuller-summer-on-the-lakes	0	0.0211004420613	0.00362745397475	0.0039913632143	0.00355237085382	0.00396110879792	0.00166278956756	0.00302602012535	0.00985590637556	0.00266431438221	0.00865881630301	0.0230202183685	0.0137441474174	0.00345053587132	0.0129875322123	0.0115599734621	0.0135328082537	0.0124648354417	0.00963531727473	0.000741334148749	0.0151106767291	0.00185161162813	0.0125659314049	0.0112105731488	0.00371833062058	0.00821165401715	0.00800300161832	0.00307001799251	0.00889065808075	0.00930233752418	0.000997276755298	0.00356824594206	0.00176991220875	0.00359605761438	0.0103169861969	0.00888880546477	0.00181042331597	0.0073424034177	0.000396476487327	0.00350013766792	0.00424149829605	0.0102314955915	0.0118590889022	0.0167652960989	0.00978547012787
graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-shakespere	0.0211004420613	0	0.0233042139203	0.0242847573015	0.0175981661957	0.0232779455611	0.0194843033248	0.0224773628058	0.0113686057271	0.0185043752562	0.0292125932405	0.00198346236893	0.0341835223053	0.0202627338061	0.0182567442909	0.0200465574408	0.018683591815	0.0219911124712	0.0303273641472	0.0212660167702	0.00611853343096	0.0207342440144	0.0217016517556	0.0314353640858	0.0174345471919	0.0279587788253	0.0220269570178	0.0180833274767	0.029434677204	0.0297551776811	0.0213572429421	0.0230982862962	0.020712873161	0.0195785012375	0.031194455298	0.0184240999018	0.0202633689392	0.0227575224437	0.0210568912128	0.021036184444	0.0246170847686	0.0299027498093	0.0317657562069	0.00435627078488	0.0113782467155
graphletCounts/gustave-flaubert/gustave-flaubert-short-works	0.00362745397475	0.0233042139203	0	0.00168026593101	0.00631306432756	0.00101285314714	0.00472119645234	0.000984067392875	0.0124229868654	0.0053921302977	0.00608050095268	0.0252431081797	0.0110723339428	0.00320449992359	0.0134774406915	0.0116882265256	0.0139708317607	0.0120251690565	0.00718463709228	0.00309390092892	0.0173472768224	0.00315840475084	0.0122308004309	0.00848319615585	0.00636608184106	0.0056075049898	0.00658983977227	0.00581307629334	0.00636537739256	0.00671220518209	0.00304578439378	0.000248564267143	0.00311496950858	0.00386569786993	0.00806238929071	0.00911587441101	0.00354857864979	0.00572277621699	0.00348351991919	0.00249025256712	0.00187717952549	0.00719691140101	0.00908668050734	0.0190362052281	0.0121510232968
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	0.0039913632143	0.0242847573015	0.00168026593101	0	0.00705827925919	0.00164300832528	0.00531000072355	0.00219318350067	0.0132462925846	0.00613677352078	0.00503699457277	0.0262125846732	0.0102019717768	0.00456078634874	0.0137273535983	0.0118228741125	0.0141254416004	0.0119688709559	0.00610805843452	0.00364719469962	0.0182685326227	0.00403148263957	0.012225674597	0.00758891772328	0.00715120654814	0.00491430287251	0.00710547670748	0.00656382450981	0.0053352117963	0.00575713949147	0.00361315804778	0.00182489728307	0.0040097283395	0.00517723958499	0.00696182507829	0.00970815579067	0.00440709967794	0.00605422715254	0.0039392760458	0.00391464352227	0.000431454579501	0.00650215642381	0.00829417643582	0.0199869607591	0.0130490260026
graphletCounts/mary-shelley/mary-shelley-prosepine-midas	0.00355237085382	0.0175981661957	0.00631306432756	0.00705827925919	0	0.00646812635439	0.00192346708517	0.0054783088735	0.00638502564737	0.00104441579512	0.0119774020903	0.0195165206409	0.0170815510384	0.00411043547227	0.0117436445119	0.0109578488825	0.0123401197652	0.0123086251414	0.013009068071	0.00376539576271	0.0116166742705	0.00367522357342	0.0123258042193	0.0144517383919	0.000292321117886	0.0112496929733	0.00866867769806	0.000569275787348	0.0122229248619	0.0126111488228	0.00393054115849	0.00615926102177	0.00360776377303	0.0036487293303	0.0137522709169	0.00798995966915	0.0031743196957	0.00847392972694	0.00351259864568	0.00474783567059	0.00737477663082	0.0132654337158	0.0150141684812	0.0132618006522	0.00626637706941
graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	0.00396110879792	0.0232779455611	0.00101285314714	0.00164300832528	0.00646812635439	0	0.00493597613983	0.00144236198718	0.0124482713001	0.00556125741732	0.00605046193691	0.0252132645201	0.0110492709348	0.00339644602701	0.0129195415825	0.0111015336728	0.0133555379992	0.0113115516378	0.00718753450796	0.00350866707344	0.0173063037764	0.00340393153453	0.011541774664	0.00837365571327	0.00650668616389	0.00542832795639	0.00595464371657	0.00597865102459	0.00631941450538	0.0066559134611	0.00345539066467	0.000947883280333	0.00338879200615	0.00401246393518	0.0081510848993	0.00861989225528	0.00376812368012	0.00504982510159	0.00385359791873	0.00268390022216	0.00187799726846	0.00698223674672	0.00889180860695	0.0190212934877	0.0121850563233
graphletCounts/margaret-fuller/margaret-fuller-woman-in-the-nineteenth-century	0.00166278956756	0.0194843033248	0.00472119645234	0.00531000072355	0.00192346708517	0.00493597613983	0	0.00394076046022	0.00824609135595	0.00109858124164	0.0101554899026	0.0214017068079	0.0152713951489	0.00334022503897	0.0122489081479	0.0110957888789	0.0128125453217	0.0121958901197	0.0111656213438	0.00195465365801	0.0134909709204	0.00226035145711	0.0122677521769	0.0126774049103	0.002093125871	0.00956583772693	0.00809735774122	0.00145656765034	0.0103982392723	0.010800787705	0.00217028518803	0.00460096230448	0.00216765219825	0.00317130535447	0.0118863359766	0.00827162961573	0.00184188371587	0.00764919832816	0.00165084554387	0.00373314590413	0.00560873182989	0.0115833650813	0.0132803012085	0.0151475722728	0.00815502955052
graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	0.00302602012535	0.0224773628058	0.000984067392875	0.00219318350067	0.0054783088735	0.00144236198718	0.00394076046022	0	0.0115873365296	0.0045820003745	0.00692369795241	0.0244126052393	0.0119533954729	0.0025589560933	0.013111738657	0.0114437326461	0.0135990856157	0.0118978945783	0.00801296708942	0.00247491439461	0.0165221882446	0.00258471061051	0.0120975445978	0.00937341263336	0.00552670441809	0.00647934828044	0.00668777483926	0.00498482047047	0.00721884441864	0.00758959336695	0.00252471288032	0.000874422585201	0.00250866441151	0.00315008389111	0.00885279527641	0.00882421898649	0.00288902446295	0.00590291087666	0.00283707303261	0.00197610057446	0.00248342990536	0.00809317080543	0.00998855150695	0.0182024569608	0.0112974763296
graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-aids-to-reflection	0.00985590637556	0.0113686057271	0.0124229868654	0.0132462925846	0.00638502564737	0.0124482713001	0.00824609135595	0.0115873365296	0	0.00733016407296	0.0181769032066	0.013261087253	0.0232442233561	0.00963244064703	0.011448014993	0.0120174957648	0.0120653644725	0.0139591477975	0.0192386007206	0.0100956088303	0.00539404271725	0.00967341969705	0.0137905123789	0.0205270161191	0.00625562603405	0.0171162427622	0.0124517632727	0.00688995101999	0.0184006322892	0.01875659275	0.0101736659978	0.0122350518209	0.0096472804406	0.00897427169312	0.0200457980709	0.00954436011847	0.00917831134652	0.0128003558181	0.00984621312483	0.0104036579789	0.0135695640048	0.0191934038957	0.0209803199222	0.00703246980191	0.0012005691274
graphletCounts/mary-shelley/mary-shelley-frankenstein	0.00266431438221	0.0185043752562	0.0053921302977	0.00613677352078	0.00104441579512	0.00556125741732	0.00109858124164	0.0045820003745	0.00733016407296	0	0.0110352964515	0.0204251464871	0.0161400420129	0.00340000256834	0.0119015366732	0.0109333339238	0.0125158836462	0.0121724569361	0.0120723165351	0.00283972914509	0.0125229113096	0.00282060225004	0.0122056593264	0.0134998991332	0.00117243695658	0.0103322647596	0.00815058116072	0.000598714926004	0.0112740651424	0.0116506344476	0.00301530414034	0.0052429519636	0.00274303300448	0.00306631165038	0.0128236496079	0.00793065222297	0.0023413573326	0.00786692922154	0.00261119571398	0.00393944816885	0.00644874157508	0.0123308499713	0.0140762016205	0.0141781357398	0.00719046944819
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	0.00865881630301	0.0292125932405	0.00608050095268	0.00503699457277	0.0119774020903	0.00605046193691	0.0101554899026	0.00692369795241	0.0181769032066	0.0110352964515	0	0.0311441320722	0.00531327813363	0.00920231124692	0.0171007807526	0.0148284897535	0.0174179516821	0.0143967446708	0.00125874238985	0.00837897242458	0.0231976790034	0.0086910285788	0.0147112615095	0.00294197651154	0.0120819171544	0.0030257296552	0.0098053184571	0.0114722507265	0.000656588050605	0.00121472035513	0.00825596650552	0.00627595301523	0.00870228031206	0.00987130382247	0.00241435919652	0.013350742855	0.00914268925889	0.0086209407375	0.00866537981334	0.00845446368562	0.00468522664138	0.00288390094934	0.00399419488793	0.0249279631077	0.0180123299955
graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-specimens-of-the-table-talk	0.0230202183685	0.00198346236893	0.0252431081797	0.0262125846732	0.0195165206409	0.0252132645201	0.0214017068079	0.0244126052393	0.013261087253	0.0204251464871	0.0311441320722	0	0.0361303130816	0.0222052194915	0.0198267864761	0.0217174692069	0.0202274513428	0.0236450447479	0.0322591594392	0.023192738085	0.00801316193341	0.0226740908708	0.0233486412905	0.0333708176156	0.0193570722628	0.0298984172535	0.0239148397983	0.0200046733062	0.0313680701485	0.031688907112	0.0232872418833	0.02503749645	0.02265164778	0.0215239728191	0.0331248647139	0.0202540982879	0.0222001973806	0.0246589074882	0.0229780204247	0.0229759359451	0.026546435071	0.0318406049338	0.033708857968	0.00627709824369	0.0132830221416
graphletCounts/walter-scott/walter-scott-ivanhoe	0.0137441474174	0.0341835223053	0.0110723339428	0.0102019717768	0.0170815510384	0.0110492709348	0.0152713951489	0.0119533954729	0.0232442233561	0.0161400420129	0.00531327813363	0.0361303130816	0	0.0140958245554	0.0212472768014	0.0188016462057	0.0214962593536	0.0180358260267	0.00439684618384	0.0134525103502	0.0282156713032	0.0136610438832	0.0183580195532	0.00315279605517	0.0171756815138	0.00655675802629	0.0136934548435	0.0165653738371	0.00504249245836	0.004695943376	0.0132919248408	0.0112604375062	0.0136941802213	0.0147487289728	0.00413595193625	0.0176385679854	0.0141493646693	0.0126080146929	0.0137583769958	0.0133423504044	0.00984591513186	0.00470298856026	0.00323277445911	0.0299304391566	0.0230926675758
graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	0.00345053587132	0.0202627338061	0.00320449992359	0.00456078634874	0.00411043547227	0.00339644602701	0.00334022503897	0.0025589560933	0.00963244064703	0.00340000256834	0.00920231124692	0.0222052194915	0.0140958245554	0	0.0119761417471	0.0106262031563	0.0126086076774	0.0114530798427	0.010317596321	0.00295442469552	0.0143636949267	0.00224610340289	0.011561284938	0.0114521024397	0.00406205656801	0.00825879663223	0.00616554772685	0.00371520905766	0.00946870059001	0.00976892952138	0.00291748447327	0.0029962922428	0.00214263006332	0.000991032810649	0.0112122567405	0.0074115842718	0.0022310334149	0.00584720352384	0.00322205157805	0.000910598484973	0.00485239473312	0.0100080938727	0.0119528748425	0.0160337257868	0.00927082515946
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	0.0129875322123	0.0182567442909	0.0134774406915	0.0137273535983	0.0117436445119	0.0129195415825	0.0122489081479	0.013111738657	0.011448014993	0.0119015366732	0.0171007807526	0.0198267864761	0.0212472768014	0.0119761417471	0	0.00266502123996	0.00176972703311	0.00443642338272	0.0181211245431	0.0131185478326	0.0133739718031	0.0120739882888	0.00392104097031	0.0184090062892	0.0116407954821	0.0153346232426	0.00905584971299	0.011827684467	0.0171761828192	0.0173178809484	0.0128540280187	0.0132863807161	0.0121453096133	0.0117414639374	0.0192609062583	0.00565795390913	0.0118900634906	0.00966864741351	0.013062912534	0.0122370096118	0.0139180482702	0.0169458334402	0.0186644231421	0.0150514068862	0.0115506743659
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	0.0115599734621	0.0200465574408	0.0116882265256	0.0118228741125	0.0109578488825	0.0111015336728	0.0110957888789	0.0114437326461	0.0120174957648	0.0109333339238	0.0148284897535	0.0217174692069	0.0188016462057	0.0106262031563	0.00266502123996	0	0.00326189560535	0.00285336332866	0.015808634244	0.0116647045931	0.0147904721662	0.0105672448193	0.00229257850619	0.0159970567134	0.0108816946311	0.0129658812465	0.0070929559221	0.0109370082356	0.014874406614	0.014991140738	0.0113290066401	0.0115146315144	0.010657681554	0.0104981548486	0.0169583386906	0.00453810104197	0.0104774085646	0.00755140124353	0.0116557198523	0.0107717398605	0.0119676947348	0.0145895424278	0.0162333490832	0.0165462212796	0.0121201119559
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-1	0.0135328082537	0.018683591815	0.0139708317607	0.0141254416004	0.0123401197652	0.0133555379992	0.0128125453217	0.0135990856157	0.0120653644725	0.0125158836462	0.0174179516821	0.0202274513428	0.0214962593536	0.0126086076774	0.00176972703311	0.00326189560535	0	0.00419753713926	0.018419517714	0.0136771249048	0.0139031233146	0.0126692708806	0.00385959091723	0.0187245430333	0.012234224566	0.0157269060102	0.00953969541052	0.0124220285705	0.0174948445816	0.0176716111737	0.0134503143004	0.0137851407814	0.0127456467583	0.0123448530787	0.0195510892699	0.00645366614389	0.0124916444641	0.010076223164	0.0136138072713	0.0128626290455	0.0143146923707	0.0172493067424	0.018906672455	0.0155342398342	0.012181121484
