	graphletCounts/leo-tolstoy/leo-tolstoy-master-and-men	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-1	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	graphletCounts/leo-tolstoy/leo-tolstoy-anna-karenina	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-first-series	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-nature	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-representative-men	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-second-series	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-english-traits	graphletCounts/walter-scott/walter-scott-the-monestary	graphletCounts/walter-scott/walter-scott-the-tailsmen	graphletCounts/walter-scott/walter-scott-waverly-1	graphletCounts/walter-scott/walter-scott-waverly-2	graphletCounts/walter-scott/walter-scott-ivanhoe	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-house-of-the-dead	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-uncles-dream	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-gambler	graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	graphletCounts/gustave-flaubert/gustave-flaubert-simple-soul	graphletCounts/gustave-flaubert/gustave-flaubert-temptation-anthony	graphletCounts/gustave-flaubert/gustave-flaubert-short-works	graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	graphletCounts/henry-david-thoreau/henry-david-thoreau-maine-woods	graphletCounts/henry-david-thoreau/henry-david-thoreau-on-duty-civil	graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	graphletCounts/henry-david-thoreau/henry-david-thoreau-walking	graphletCounts/henry-david-thoreau/henry-david-thoreau-excursions	graphletCounts/margaret-fuller/margaret-fuller-summer-on-the-lakes	graphletCounts/margaret-fuller/margaret-fuller-at-home-and-abroad	graphletCounts/margaret-fuller/margaret-fuller-life-without-and-life-within	graphletCounts/margaret-fuller/margaret-fuller-woman-in-the-nineteenth-century	graphletCounts/margaret-fuller/margaret-fuller-memoirs-of-margaret-fuller-ossoli-vol-1	graphletCounts/mary-shelley/mary-shelley-last-man	graphletCounts/mary-shelley/mary-shelley-tales-stories	graphletCounts/mary-shelley/mary-shelley-prosepine-midas	graphletCounts/mary-shelley/mary-shelley-mathilda	graphletCounts/mary-shelley/mary-shelley-frankenstein	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-literary-remains	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-shakespere	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-biographia-literaria	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-specimens-of-the-table-talk	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-aids-to-reflection
graphletCounts/leo-tolstoy/leo-tolstoy-master-and-men	0	0.024657764666982662	0.03442136042502075	0.0361240174376235	0.010918000656493843	0.04508983902414332	0.045189895612127384	0.05005233024721456	0.053080294252086824	0.042854912484604823	0.06223948018350833	0.06192055825152032	0.06249144742814139	0.05981813607569775	0.0580109183499935	0.061453767367799395	0.0607659138251736	0.060179527708333236	0.06040078252572456	0.06155973445607543	0.060741298287766754	0.06075203540162344	0.060835453409064044	0.0606080454636273	0.060670171921886284	0.06139738340931389	0.06241211728484075	0.06554107975977685	0.06325940695677057	0.0617287420464242	0.05683599825064711	0.06113895479415066	0.062198812316087926	0.06015336319295039	0.05788406950755276	0.06291467609165369	0.06196073832684046	0.06240707226592168	0.06237193050341594	0.06027242646711817	0.06657784151092927	0.06596967256247965	0.06412071691617072	0.06435466785434552	0.061837591805476544
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-1	0.024657764666982662	0	0.026980736009192485	0.027511049197089577	0.0279182064364506	0.038020194724479595	0.03784385642818344	0.04638352924050604	0.047954488503479165	0.037278696108439036	0.06062084415772229	0.05997660856599041	0.061570961755501474	0.058921305575507454	0.05584107466796728	0.059972486980254924	0.059787758329198804	0.059042571637090924	0.05933866145571398	0.059702020349365004	0.058162170353856624	0.057945221988002005	0.05787604301319804	0.05777443178667885	0.05764682165516577	0.059530427903225824	0.06035552060661431	0.06377587493858594	0.06068729596137701	0.060349453402132935	0.056802007642540175	0.059365681107470314	0.06191483924868402	0.059550632633156964	0.0575549333795794	0.06338390441375685	0.06241696058371138	0.06278144249535011	0.06277231067464983	0.05981652745182975	0.06327141056484342	0.06300868661429426	0.061637198604941545	0.06063031554753617	0.061149692298615665
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	0.03442136042502075	0.026980736009192485	0	0.015249404230469499	0.03583272020236339	0.028193452830763577	0.02923412937990255	0.03638567896413414	0.03971593272480123	0.026429381402006014	0.05506308456279063	0.05416841857433874	0.055112298694725226	0.052594207839288254	0.04587280121465109	0.0540510053896186	0.05354642469869675	0.0530504518825079	0.053031930736972654	0.05430747290810767	0.0529233898682091	0.052910838522279735	0.052835553082973274	0.05271803449001722	0.05291968195568708	0.054319114415997016	0.055458733750820444	0.05886746812323307	0.05623083667026463	0.05545018608053709	0.05087136843780182	0.05422306201943694	0.05538861515167437	0.05363466558426844	0.05123675769345504	0.057122343838214795	0.056568662353103316	0.056783610218612	0.05675567914442181	0.054113571095977586	0.059331404944847566	0.058382705302742144	0.06010869962517662	0.05570853595911318	0.06028156666482343
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	0.0361240174376235	0.027511049197089577	0.015249404230469499	0	0.03789704078123224	0.022268733537083918	0.023526062700723882	0.031692333408039564	0.03466955484545209	0.02202526833357643	0.05257973722581033	0.05158553249749531	0.052883208990529784	0.050251944186888386	0.042903509069529444	0.05130090618612804	0.051094276961773266	0.05033111414138802	0.050712141271286315	0.05119226714980718	0.049378250436059035	0.048635280165429395	0.048655235828461874	0.04846955332364877	0.04851575114391038	0.0513456596195595	0.05224545148951354	0.055252884268659375	0.052597647530616354	0.052074092491095514	0.04819811192980883	0.051330836632830446	0.0531426858862305	0.05161078586628465	0.048952674699958565	0.055170958196201436	0.05459323997071752	0.05477158017686057	0.05475157904530692	0.05183829612171731	0.056161890446151386	0.05530474077153147	0.05775665027597898	0.05267427577862349	0.058238826080082906
graphletCounts/leo-tolstoy/leo-tolstoy-anna-karenina	0.010918000656493843	0.0279182064364506	0.03583272020236339	0.03789704078123224	0	0.04761965757856257	0.04776614097696341	0.05132061717785408	0.054832257019186814	0.04519368085938302	0.0635278136194235	0.06303112787352716	0.06222707644836256	0.06083029347115476	0.058529221182455404	0.06222293914239818	0.061688024877063485	0.06076148536723258	0.06090527572693738	0.06285647701561714	0.06222960224451268	0.062094800589345245	0.0622076964489241	0.06191772223083469	0.0621110979930255	0.062306968218304504	0.06351931587222959	0.06666615467282078	0.0646827591146244	0.06279231112865413	0.05761701195654034	0.06243340673336706	0.06266162375637563	0.06081377585526038	0.05850618399544105	0.062322288574116924	0.06218952834056035	0.06237908570818407	0.06234085286982305	0.060795012127484616	0.06851576596379061	0.06747129146712294	0.0655878421354007	0.06571566114444705	0.06235354475856847
graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-first-series	0.04508983902414332	0.038020194724479595	0.028193452830763577	0.022268733537083918	0.04761965757856257	0	0.007704167216479596	0.025502714837508544	0.024839423436574526	0.01519114668737831	0.04928578763899172	0.0482075623300966	0.04961460187539446	0.047282889595317235	0.03968867222965222	0.04873211878887429	0.04810577823490936	0.048202406848003365	0.048546530119442655	0.047518120688854304	0.04544028021847546	0.04409711899624691	0.04426954826797691	0.043965161152458854	0.04344990827451234	0.04712267178150331	0.046933744173980774	0.05015282751622985	0.04632609992024217	0.0476407339484749	0.04656193545983622	0.04807277615883765	0.0511329677493052	0.04981404943285672	0.047412755143387164	0.05319631737536257	0.0525418497622443	0.05238151695294724	0.05231730853497296	0.050067328828824365	0.053444617035221964	0.05440173163505169	0.05584284859069466	0.05387839832611274	0.056180402155005305
graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-nature	0.045189895612127384	0.03784385642818344	0.02923412937990255	0.023526062700723882	0.04776614097696341	0.007704167216479596	0	0.02406746345150268	0.023282629359728912	0.015974956861749656	0.04793303324974352	0.046896886964689855	0.04905575256262806	0.04663094311977012	0.03865348917918143	0.04841892120078983	0.04739196310370852	0.04785681231733696	0.048202000966179215	0.04706294401061217	0.04503255323095956	0.04373873880010448	0.04390546108806581	0.04358161528212201	0.0431225681494406	0.04651701498743677	0.046290931213473385	0.04969095412771973	0.045653219403169354	0.0473543668552735	0.04605327005834903	0.047454421500094934	0.05042498935275963	0.049022560557405837	0.04677294422943812	0.052363680582691474	0.05156012397740539	0.051507732649925475	0.05144710065326086	0.04929833711286846	0.052836508138605964	0.053828970485531924	0.05539726868138273	0.05338355781165316	0.05521824685882892
graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-representative-men	0.05005233024721456	0.04638352924050604	0.03638567896413414	0.031692333408039564	0.05132061717785408	0.025502714837508544	0.02406746345150268	0	0.013001100778756491	0.02500087471833723	0.03526342088819945	0.034368918062393505	0.03557989773718151	0.03371965369384433	0.026591550361714122	0.03650317146318649	0.0343467638044479	0.035802235499844626	0.03594206264331912	0.03538933859028737	0.035171942866566996	0.03479871067142715	0.03501285198638826	0.03468532156797288	0.034040458774171056	0.039040841376079216	0.037652654143692454	0.039689928136452446	0.03845853244960018	0.03994953909847099	0.03846720105006618	0.03942543535615739	0.03839024222562737	0.037492515441432395	0.03767979558250667	0.040026996601358555	0.04033388739470711	0.040058274391117976	0.04004261149100674	0.037660776872026513	0.04380820859034884	0.04495726959548396	0.04546592022262197	0.049927758140249856	0.045893541304589225
graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-second-series	0.053080294252086824	0.047954488503479165	0.03971593272480123	0.03466955484545209	0.054832257019186814	0.024839423436574526	0.023282629359728912	0.013001100778756491	0	0.026263768483603678	0.03486403168314778	0.033530442932218074	0.03627593260250872	0.03293393913124221	0.026948486746057987	0.03512372339019332	0.03359614284390733	0.03488764944462941	0.035156431518940545	0.033259583710329554	0.03295341766550608	0.0320405067413726	0.03220161551504719	0.031848221701344936	0.03155624184102446	0.03814638977672169	0.036154616397049755	0.037204365086657476	0.035509241533682845	0.0389485210245345	0.03739179362115175	0.038010286787763525	0.03858573982315172	0.03719585307882034	0.03728877894439342	0.04017921197432828	0.04022658052745676	0.039965767235034644	0.03996294320502414	0.037417318281061984	0.041970742383727666	0.04384935425389813	0.04483618378799492	0.0488214225095529	0.04572149416193849
graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-english-traits	0.042854912484604823	0.037278696108439036	0.026429381402006014	0.02202526833357643	0.04519368085938302	0.01519114668737831	0.015974956861749656	0.02500087471833723	0.026263768483603678	0	0.048294695184578074	0.04761202295699041	0.04947577946911297	0.046625384354659016	0.0402445245013312	0.04852915050276019	0.0473650215648479	0.047967653702345125	0.048262279395506424	0.047350276521393675	0.04550209353612544	0.04430076318650045	0.044396786258115606	0.04416583119077089	0.043593390544088395	0.04793660234517094	0.04720194002920841	0.050211715892293785	0.046813753478535	0.04858130368420166	0.04684158980255826	0.0484599048634905	0.05032717624674299	0.04863251643722377	0.04712288330457859	0.051672441678065284	0.0507784488996843	0.05088770296537437	0.050816972923019565	0.04894550733472869	0.05194873222904184	0.0526718691966237	0.05407864176016586	0.05407559403078577	0.05412967240189337
