	graphletCounts/leo-tolstoy/leo-tolstoy-master-and-men	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-1	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	graphletCounts/leo-tolstoy/leo-tolstoy-anna-karenina	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-first-series	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-nature	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-representative-men	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-second-series	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-english-traits	graphletCounts/walter-scott/walter-scott-the-monestary	graphletCounts/walter-scott/walter-scott-the-tailsmen	graphletCounts/walter-scott/walter-scott-waverly-1	graphletCounts/walter-scott/walter-scott-waverly-2	graphletCounts/walter-scott/walter-scott-ivanhoe	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-house-of-the-dead	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-uncles-dream	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-gambler	graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	graphletCounts/gustave-flaubert/gustave-flaubert-simple-soul	graphletCounts/gustave-flaubert/gustave-flaubert-temptation-anthony	graphletCounts/gustave-flaubert/gustave-flaubert-short-works	graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	graphletCounts/henry-david-thoreau/henry-david-thoreau-maine-woods	graphletCounts/henry-david-thoreau/henry-david-thoreau-on-duty-civil	graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	graphletCounts/henry-david-thoreau/henry-david-thoreau-walking	graphletCounts/henry-david-thoreau/henry-david-thoreau-excursions	graphletCounts/margaret-fuller/margaret-fuller-summer-on-the-lakes	graphletCounts/margaret-fuller/margaret-fuller-at-home-and-abroad	graphletCounts/margaret-fuller/margaret-fuller-life-without-and-life-within	graphletCounts/margaret-fuller/margaret-fuller-woman-in-the-nineteenth-century	graphletCounts/margaret-fuller/margaret-fuller-memoirs-of-margaret-fuller-ossoli-vol-1	graphletCounts/mary-shelley/mary-shelley-last-man	graphletCounts/mary-shelley/mary-shelley-tales-stories	graphletCounts/mary-shelley/mary-shelley-prosepine-midas	graphletCounts/mary-shelley/mary-shelley-mathilda	graphletCounts/mary-shelley/mary-shelley-frankenstein	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-literary-remains	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-shakespere	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-biographia-literaria	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-specimens-of-the-table-talk	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-aids-to-reflection
graphletCounts/leo-tolstoy/leo-tolstoy-master-and-men	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/leo-tolstoy/leo-tolstoy-anna-karenina	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-first-series	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-nature	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-representative-men	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-second-series	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-english-traits	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/walter-scott/walter-scott-the-monestary	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/walter-scott/walter-scott-the-tailsmen	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/walter-scott/walter-scott-waverly-1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/walter-scott/walter-scott-waverly-2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/walter-scott/walter-scott-ivanhoe	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-house-of-the-dead	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-uncles-dream	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-gambler	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/gustave-flaubert/gustave-flaubert-simple-soul	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/gustave-flaubert/gustave-flaubert-temptation-anthony	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/gustave-flaubert/gustave-flaubert-short-works	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/henry-david-thoreau/henry-david-thoreau-maine-woods	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/henry-david-thoreau/henry-david-thoreau-on-duty-civil	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/henry-david-thoreau/henry-david-thoreau-walking	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
graphletCounts/henry-david-thoreau/henry-david-thoreau-excursions	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
